|Callsign|Frequency|Service|Channel|Directional Antenna (DA) or NonDirectional (ND)|Hours of Operation for this record - Daytime, Nighttime, or Unlimited|FM Station Class|International Station Class|FM Status|City|State|Country|File Number (Application, Construction Permit or License) or Docket Number (Rulemaking)|Effective Radiated Power -- horizontally polarized  (maximum)|Effective Radiated Power -- vertically polarized  (maximum)|Antenna Height Above Average Terrain (HAAT) -- horizontal polarization|Antenna Height Above Average Terrain (HAAT) -- vertical polarization|Facility ID Number (unique to each station)|N (North) or S (South) Latitude|Degrees Latitude|Minutes Latitude|Seconds Latitude|W (West) or (E) East Longitude|Degrees Longitude|Minutes Longitude|Seconds Longitude|Licensee or Permittee|Kilometers distant (radius) from entered latitude, longitude|Miles distant (radius) from entered latitude, longitude|Azimuth, looking from center Lat, Lon to this record's Lat, Lon|Antenna Radiation Center Above Mean Sea Level (RCAMSL) - Horizontally Polarized - meters|Antenna Radiation Center Above Mean Sea Level (RCAMSL) - Vertically Polarized - meters|Directional Antenna ID Number|Directional Antenna Pattern Rotation (degrees)|Antenna Structure Registration Number|Height of antenna radiation center above ground level (maximum) (physical center of the antenna)|Application ID number (from CDBS database)

|WWQE        |89.7  MHz |FM |209 |DA  |-                   |A  |-  |LIC    |ELBERTON                 |GA |US |BLED   -20121126AKW |1.     kW |1.     kW |103.0   |103.0   |175775     |N |34 |10 |31.90 |W |82  |57 |32.60 |THE POWER FOUNDATION                                                        |   0.00 km |   0.00 mi |  0.00 deg |292.   m|292.0  m|107310    |0.      |1217356 |73.    m|1528104   |
|WWQE        |89.7  MHz |FM |209 |DA  |-                   |A  |-  |CP     |ELBERTON                 |GA |US |BPED   -20131224AAS |1.15   kW |1.15   kW |95.0    |95.0    |175775     |N |34 |10 |32.00 |W |82  |57 |33.00 |THE POWER FOUNDATION                                                        |   0.00 km |   0.00 mi |  0.00 deg |292.   m|292.0  m|117485    |0.      |1217356 |73.    m|1619939   |
|WTFH        |89.9  MHz |FM |210 |ND  |-                   |A  |-  |LIC    |HELEN                    |GA |US |BLED   -20010111AAE |0.015  kW |0.015  kW |171.0   |171.0   |90471      |N |34 |44 |55.00 |W |83  |43 |43.00 |TOCCOA FALLS COLLEGE                                                        |   0.00 km |   0.00 mi |  0.00 deg |842.   m|842.0  m|-         |-       |-       |13.    m|546276    |
|WXOT        |89.9  MHz |FM |210 |DA  |-                   |A  |-  |CP     |NICHOLSON                |GA |US |BNPED  -20071022AQA |1.     kW |1.     kW |90.0    |90.0    |176071     |N |34 |11 |20.00 |W |83  |26 |59.00 |COMMON GROUND ATHENS, INC.                                                  |   0.00 km |   0.00 mi |  0.00 deg |338.5  m|338.5  m|82615     |0.      |1215432 |52.    m|1213950   |
|WEEZ        |89.9  MHz |FM |210 |ND  |-                   |A  |-  |LIC    |GREENSBORO               |GA |US |BLED   -20110810AAV |0.63   kW |0.63   kW |95.0    |95.0    |172936     |N |33 |32 |53.00 |W |83  |4  |15.00 |COMMUNITY PUBLIC RADIO, INC.                                                |   0.00 km |   0.00 mi |  0.00 deg |277.   m|277.0  m|-         |-       |1210863 |55.    m|1439363   |
|WXOT        |89.9  MHz |FM |210 |ND  |-                   |A  |-  |APP    |NICHOLSON                |GA |US |BMPED  -20130819AGB |0.3    kW |0.     kW |43.0    |0.0     |176071     |N |34 |11 |26.20 |W |83  |26 |6.60  |COMMON GROUND ATHENS, INC.                                                  |   0.00 km |   0.00 mi |  0.00 deg |292.1  m|0.0    m|-         |-       |1221666 |15.    m|1569743   |
|WXVS        |90.1  MHz |FM |211 |DA  |-                   |C1 |-  |LIC    |WAYCROSS                 |GA |US |BMLED  -20080131AJH |79.    kW |77.6   kW |280.0   |280.0   |23923      |N |31 |13 |17.00 |W |82  |34 |24.00 |GEORGIA PUBLIC TELECOMMUNICATIONS COMMISSION                                |   0.00 km |   0.00 mi |  0.00 deg |329.   m|329.0  m|13693     |0.      |1018780 |280.   m|1228440   |
|WABE        |90.1  MHz |FM |211 |DA  |-                   |C0 |-  |LIC    |ATLANTA                  |GA |US |BLED   -20120521ABP |100.   kW |100.   kW |334.1   |334.1   |3538       |N |33 |45 |33.00 |W |84  |20 |5.00  |BOARD OF EDUCATION, CITY OF ATLANTA                                         |   0.00 km |   0.00 mi |  0.00 deg |615.   m|615.0  m|80586     |0.      |1028278 |313.2  m|1498792   |
|WHCJ        |90.3  MHz |FM |212 |DA  |-                   |A  |-  |LIC    |SAVANNAH                 |GA |US |BLED   -19980616KC  |6.     kW |6.     kW |68.0    |68.0    |59247      |N |32 |1  |28.00 |W |81  |3  |23.00 |SAVANNAH STATE UNIVERSITY                                                   |   0.00 km |   0.00 mi |  0.00 deg |75.    m|75.0   m|14842     |0.      |1052741 |67.    m|269876    |
|WAEF        |90.3  MHz |FM |212 |DA  |-                   |C2 |-  |LIC    |CORDELE                  |GA |US |BLED   -20010607AAH |0.     kW |11.    kW |0.0     |154.0   |88121      |N |31 |38 |22.00 |W |83  |44 |58.00 |AMERICAN FAMILY ASSOCIATION                                                 |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|263.   m|37996     |0.      |1221051 |141.   m|575228    |
